title,averageRating
Карменсіта,5.7
Carmencita,5.7
Carmencita - spanyol tánc,5.7
Καρμενσίτα,5.7
Карменсита,5.7
Carmencita,5.7
Carmencita,5.7
カルメンチータ,5.7
Le clown et ses chiens,5.7
Le clown et ses chiens,5.7
A bohóc és kutyái,5.7
Der Clown und seine Hunde,5.7
Clovnul si cainii sai,5.7
Клоун и его собаки,5.7
The Clown and His Dogs,5.7
道化師と犬,5.7
Sarmanul Pierrot,6.5
Szegény Pierrot,6.5
哀れなピエロ,6.5
Бідний П'єро,6.5
Бедный Пьеро,6.5
Pauvre Pierrot,6.5
Poor Pierrot,6.5
Pauvre Pierrot,6.5
Armer Pierrot,6.5
Un bon bock,5.4
Un bon bock,5.4
Ein gutes Glas Bier,5.4
Un ţap de bere,5.4
Полная кружка пива,5.4
一杯のビール,5.4
A Good Beer,5.4
Egy jó pohár sör,5.4
Blacksmith Scene,6.2
Blacksmith Scene,6.2
The Blacksmith's Forge,6.2
Blacksmithing Scene,6.2
Ковальська сцена,6.2
Сцена в кузне,6.2
Blacksmith Scene,6.2
Blacksmith Shop,6.2
Blacksmith Scene #1,6.2
Blacksmithing,6.2
Schmiedszene,6.2
A patkolókovács,6.2
Китайский опиумный притон,5.0
Chinezes Fumadores de Ópio,5.0
Chinese Opium Den,5.0
Kínai ópiumbarlang,5.0
Chinese Opium Den,5.0
Chinesische Opiumhöhle,5.0
Corbett und Courtney vor dem Kinetographen,5.4
Corbett and Courtney Before the Kinetograph,5.4
Corbett and Courtney Before the Kinetograph,5.4
A Corbett-Courtney bokszmeccs,5.4
キネトグラフの前のコーベットとコートニー,5.4
The Corbett-Courtney Fight,5.4
Jim Corbett vs. Peter Courtney,5.4
Edison Kinetoscopic Record of Boxers,5.4
Корбетт та Кортні перед кінематографом,5.4
Корбетт и Кортни перед кинематографом,5.4
Fred Ott's Sneeze,5.4
Edison kinetoskopische Aufnahme eines Niesens,5.4
Edison asszisztense tüsszent,5.4
フレッド・オット－のくしゃみ,5.4
"Edison Kinetoscopic Record of a Sneeze, January 7, 1894",5.4
Edison Kinetoscopic Record of a Sneeze,5.4
Edison Kinetoscopic Record of a Sneeze,5.4
Fred Otts Niesen,5.4
"Чих, записанный на кинетоскоп Эдисона",5.4
The Films of Thomas A Edison presented by Raymond Rohauer,5.4
